No,Layout Name,Grid System,Focal Anchor,Element Hierarchy,Whitespace Ratio,Best For Content
1,layout-01,broken grid,center,headline > supporting graphic > meta,low,"high-contrast, editorial, layered, grunge"
2,layout-02,broken grid,center,headline > supporting graphic > meta,medium,"high-contrast, editorial, futuristic, streetwear"
3,layout-03,asymmetric modular,center,headline > supporting graphic > meta,medium,"editorial, abstract, futuristic, typographic"
4,layout-04,centered stack,center,headline > supporting graphic > meta,medium,"high-contrast, editorial, conceptual, dimensional"
5,layout-05,broken grid,full-bleed,headline > supporting graphic > meta,low,"editorial, photo collage, high-contrast, distressed"
6,layout-06,centered organic flow,center,headline > supporting graphic > meta,low,"fantasy, editorial, fantasy art, traditional chinese"
7,layout-07,asymmetric,center,headline > supporting graphic > meta,low,"editorial, surreal, ethereal, sci-fi"
8,layout-08,dynamic asymmetric,center,headline > supporting graphic > meta,medium,"editorial, monochromatic, modern, digital art"
9,layout-09,broken grid,center,headline > supporting graphic > meta,high,"high-contrast, editorial, futuristic, minimalist"
10,layout-10,centered stack,center,headline > supporting graphic > meta,high,"dreamlike, whimsical, digital art, high-contrast"
11,layout-11,dynamic composition,center,headline > supporting graphic > meta,low,"editorial, integrated typography, modern, adventure"
12,layout-12,broken grid,full-bleed,headline > supporting graphic > meta,medium,"modern, high-contrast, glossy, abstract"
13,layout-13,"vertical emphasis, centered focal",center,headline > supporting graphic > meta,low,"futuristic, abstract surreal, high-contrast, digital art"
14,layout-14,sectional composition,center,headline > supporting graphic > meta,medium,"japanese inspired, vintage poster, travel aesthetic, minimalist elements"
